student_id,subject_code,attendance,internal_marks,external_marks,assignment_score,grade
25CS001,CS201,88,24,57,81,A
25CS001,CS202,81,25,59,84,A
25CS001,CS203,91,24,57,81,A
25CS001,CS204,92,24,56,79,A
25CS001,MA201,78,27,62,89,A
25CS002,CS201,62,22,51,73,B+
25CS002,CS202,65,22,52,75,B+
25CS002,CS203,70,20,46,66,B
25CS002,CS204,70,23,54,77,B+
25CS002,MA201,69,22,51,73,B+
25CS003,CS201,79,21,50,71,B+
25CS003,CS202,80,23,53,75,B+
25CS003,CS203,67,25,58,83,A
25CS003,CS204,77,24,56,80,A
25CS003,MA201,79,22,51,73,B+
25CS004,CS201,85,24,56,81,A
25CS004,CS202,96,26,60,86,A
25CS004,CS203,89,29,69,98,A+
25CS004,CS204,88,29,67,96,A+
25CS004,MA201,98,24,56,80,A
25CS005,CS201,55,19,44,63,B
25CS005,CS202,64,20,46,65,B
25CS005,CS203,54,21,49,70,B+
25CS005,CS204,67,23,54,77,B+
25CS005,MA201,64,20,47,67,B
25CS006,CS201,66,21,48,68,B
25CS006,CS202,80,19,45,64,B
25CS006,CS203,74,21,49,70,B+
25CS006,CS204,71,23,53,76,B+
25CS006,MA201,64,21,50,72,B+
25CS007,CS201,79,20,47,67,B
25CS007,CS202,67,18,43,61,B
25CS007,CS203,72,21,49,70,B+
25CS007,CS204,70,23,53,76,B+
25CS007,MA201,73,21,49,70,B+
25CS008,CS201,80,19,44,62,B
25CS008,CS202,69,23,53,75,B+
25CS008,CS203,79,19,43,62,B
25CS008,CS204,79,23,55,78,B+
25CS008,MA201,75,21,50,72,B+
25CS009,CS201,63,22,50,72,B+
25CS009,CS202,70,24,55,79,B+
25CS009,CS203,66,22,52,75,B+
25CS009,CS204,66,23,54,77,B+
25CS009,MA201,77,20,46,65,B
25CS010,CS201,94,29,67,96,A+
25CS010,CS202,95,29,67,96,A+
25CS010,CS203,88,26,61,88,A
25CS010,CS204,99,27,63,90,A+
25CS010,MA201,92,28,65,93,A+
25CS011,CS201,77,26,61,87,A
25CS011,CS202,87,29,69,98,A+
25CS011,CS203,90,29,67,96,A+
25CS011,CS204,88,29,69,98,A+
25CS011,MA201,77,26,62,88,A
25CS012,CS201,86,26,60,85,A
25CS012,CS202,90,24,57,82,A
25CS012,CS203,92,24,55,79,B+
25CS012,CS204,81,26,61,88,A
25CS012,MA201,80,24,57,81,A
25CS013,CS201,61,24,57,81,A
25CS013,CS202,76,20,47,67,B
25CS013,CS203,65,20,47,68,B
25CS013,CS204,67,21,50,71,B+
25CS013,MA201,76,25,58,82,A
25CS014,CS201,92,25,59,84,A
25CS014,CS202,98,25,57,82,A
25CS014,CS203,99,28,64,92,A+
25CS014,CS204,92,27,63,89,A+
25CS014,MA201,95,27,64,91,A+
25CS015,CS201,69,18,43,62,B
25CS015,CS202,75,22,52,75,B+
25CS015,CS203,66,22,52,75,B+
25CS015,CS204,65,18,42,60,B
25CS015,MA201,73,21,50,71,B+
25CS016,CS201,88,25,59,84,A
25CS016,CS202,75,24,57,82,A
25CS016,CS203,84,25,59,84,A
25CS016,CS204,84,24,57,81,A
25CS016,MA201,87,23,54,78,B+
