id,student_id,date,action,status,urgency,subject_code,mentor_id,created_by,session_time,location,completion_requested_by,completion_request_notes,reviewed_by,rejection_reason
1,25CS024,2026-08-15,1-on-1 Academic Counseling Session,Completed,High,MA201,MEN007,MEN007,02:30 PM,Google Meet (Online),MEN007,Conducted rigorous session. Student submitted backlogged assignments and committed to 85% attendance.,FAC001,
2,25CS030,2026-08-20,Mid-Term Performance Remediation Plan,Completed,Critical,MA201,MEN004,admin,10:30 AM,"Mentorship Cabin 204, CSE Block",MEN004,Conducted rigorous session. Student submitted backlogged assignments and committed to 85% attendance.,FAC001,
3,25CS032,2026-08-06,Attendance Recovery & Root-Cause Review,Completed,High,CS203,MEN002,FAC002,02:30 PM,Google Meet (Online),MEN002,Conducted rigorous session. Student submitted backlogged assignments and committed to 85% attendance.,admin,
4,25CS035,2026-08-13,1-on-1 Academic Counseling Session,Completed,High,CS203,MEN008,FAC001,10:30 AM,"Mentorship Cabin 204, CSE Block",MEN008,Conducted rigorous session. Student submitted backlogged assignments and committed to 85% attendance.,admin,
5,25CS036,2026-08-26,1-on-1 Academic Counseling Session,Completed,High,CS203,MEN005,admin,02:30 PM,Google Meet (Online),MEN005,Conducted rigorous session. Student submitted backlogged assignments and committed to 85% attendance.,admin,
6,25CS040,2026-08-02,LMS Inactivity & Engagement Diagnostic,Completed,Critical,CS204,MEN003,FAC004,10:30 AM,"Mentorship Cabin 204, CSE Block",MEN003,Conducted rigorous session. Student submitted backlogged assignments and committed to 85% attendance.,admin,
7,25CS042,2026-07-14,LMS Inactivity & Engagement Diagnostic,Completed,Critical,CS201,MEN008,admin,02:30 PM,Google Meet (Online),MEN008,Conducted rigorous session. Student submitted backlogged assignments and committed to 85% attendance.,admin,
8,25CS054,2026-08-06,LMS Inactivity & Engagement Diagnostic,Completed,Critical,CS201,MEN001,MEN001,10:30 AM,"Mentorship Cabin 204, CSE Block",MEN001,Conducted rigorous session. Student submitted backlogged assignments and committed to 85% attendance.,admin,
9,25CS067,2026-08-16,1-on-1 Academic Counseling Session,Completed,Critical,CS201,MEN006,FAC002,02:30 PM,Google Meet (Online),MEN006,Conducted rigorous session. Student submitted backlogged assignments and committed to 85% attendance.,FAC001,
10,25CS071,2026-07-27,Peer-Assisted Study Group Assignment,Completed,Critical,CS201,MEN006,admin,10:30 AM,"Mentorship Cabin 204, CSE Block",MEN006,Conducted rigorous session. Student submitted backlogged assignments and committed to 85% attendance.,FAC001,
11,25CS074,2026-08-20,LMS Inactivity & Engagement Diagnostic,Completed,Critical,CS202,MEN007,MEN007,02:30 PM,Google Meet (Online),MEN007,Conducted rigorous session. Student submitted backlogged assignments and committed to 85% attendance.,admin,
12,25CS076,2026-08-07,Attendance Recovery & Root-Cause Review,Completed,High,CS204,MEN005,FAC006,10:30 AM,"Mentorship Cabin 204, CSE Block",MEN005,Conducted rigorous session. Student submitted backlogged assignments and committed to 85% attendance.,admin,
13,25CS078,2026-08-03,1-on-1 Academic Counseling Session,Completed,High,CS204,MEN008,MEN008,02:30 PM,Google Meet (Online),MEN008,Conducted rigorous session. Student submitted backlogged assignments and committed to 85% attendance.,admin,
14,25CS081,2026-08-25,1-on-1 Academic Counseling Session,Completed,Critical,CS203,MEN008,MEN008,10:30 AM,"Mentorship Cabin 204, CSE Block",MEN008,Conducted rigorous session. Student submitted backlogged assignments and committed to 85% attendance.,admin,
15,25CS085,2026-08-07,Parent-Teacher Counseling Conference,Completed,Critical,CS203,MEN002,MEN002,02:30 PM,Google Meet (Online),MEN002,Conducted rigorous session. Student submitted backlogged assignments and committed to 85% attendance.,FAC001,
16,25CS086,2026-07-23,LMS Inactivity & Engagement Diagnostic,Completion Requested,High,CS204,MEN005,admin,10:30 AM,"Mentorship Cabin 204, CSE Block",MEN005,Session completed successfully. Remedial test taken with 24/30 score. Requesting sign-off.,,
17,25CS089,2026-07-29,Attendance Recovery & Root-Cause Review,Completion Requested,High,CS203,MEN007,MEN007,02:30 PM,Google Meet (Online),MEN007,Session completed successfully. Remedial test taken with 24/30 score. Requesting sign-off.,,
18,25CS092,2026-08-09,Remedial Quiz & Assignment Support,Completion Requested,High,CS204,MEN008,MEN008,10:30 AM,"Mentorship Cabin 204, CSE Block",MEN008,Session completed successfully. Remedial test taken with 24/30 score. Requesting sign-off.,,
19,25CS100,2026-07-23,Attendance Recovery & Root-Cause Review,Completion Requested,High,CS201,MEN002,FAC006,02:30 PM,Google Meet (Online),MEN002,Session completed successfully. Remedial test taken with 24/30 score. Requesting sign-off.,,
20,25CS021,2026-08-02,Mid-Term Performance Remediation Plan,Completion Requested,High,MA201,MEN004,MEN004,10:30 AM,"Mentorship Cabin 204, CSE Block",MEN004,Session completed successfully. Remedial test taken with 24/30 score. Requesting sign-off.,,
21,25CS024,2026-08-21,Peer-Assisted Study Group Assignment,Completion Requested,High,CS204,MEN004,FAC004,02:30 PM,Google Meet (Online),MEN004,Session completed successfully. Remedial test taken with 24/30 score. Requesting sign-off.,,
22,25CS030,2026-08-15,Mid-Term Performance Remediation Plan,Completion Requested,Critical,CS201,MEN003,FAC001,10:30 AM,"Mentorship Cabin 204, CSE Block",MEN003,Session completed successfully. Remedial test taken with 24/30 score. Requesting sign-off.,,
23,25CS032,2026-08-21,Attendance Recovery & Root-Cause Review,Completion Requested,High,CS202,MEN003,FAC001,02:30 PM,Google Meet (Online),MEN003,Session completed successfully. Remedial test taken with 24/30 score. Requesting sign-off.,,
24,25CS035,2026-08-22,Attendance Recovery & Root-Cause Review,Revision Needed,High,CS202,MEN005,admin,10:30 AM,"Mentorship Cabin 204, CSE Block",MEN005,Initial meeting conducted. Student promised improvement.,FAC001,Attendance did not show measurable uptick in week 3. Please conduct a follow-up test and verify LMS log before re-submitting.
25,25CS036,2026-07-28,Peer-Assisted Study Group Assignment,Revision Needed,High,CS204,MEN006,admin,02:30 PM,Google Meet (Online),MEN006,Initial meeting conducted. Student promised improvement.,FAC001,Attendance did not show measurable uptick in week 3. Please conduct a follow-up test and verify LMS log before re-submitting.
26,25CS040,2026-07-20,1-on-1 Academic Counseling Session,Revision Needed,Critical,CS204,MEN003,admin,10:30 AM,"Mentorship Cabin 204, CSE Block",MEN003,Initial meeting conducted. Student promised improvement.,FAC001,Attendance did not show measurable uptick in week 3. Please conduct a follow-up test and verify LMS log before re-submitting.
27,25CS042,2026-08-04,1-on-1 Academic Counseling Session,Revision Needed,Critical,MA201,MEN002,admin,02:30 PM,Google Meet (Online),MEN002,Initial meeting conducted. Student promised improvement.,FAC001,Attendance did not show measurable uptick in week 3. Please conduct a follow-up test and verify LMS log before re-submitting.
28,25CS054,2026-08-09,LMS Inactivity & Engagement Diagnostic,Revision Needed,Critical,CS204,MEN008,MEN008,10:30 AM,"Mentorship Cabin 204, CSE Block",MEN008,Initial meeting conducted. Student promised improvement.,FAC001,Attendance did not show measurable uptick in week 3. Please conduct a follow-up test and verify LMS log before re-submitting.
29,25CS067,2026-08-05,Peer-Assisted Study Group Assignment,In Progress,Critical,MA201,MEN007,FAC001,02:30 PM,Google Meet (Online),,,,
30,25CS071,2026-08-09,Parent-Teacher Counseling Conference,In Progress,Critical,CS202,MEN001,FAC006,10:30 AM,"Mentorship Cabin 204, CSE Block",,,,
31,25CS074,2026-08-09,Remedial Quiz & Assignment Support,In Progress,Critical,CS201,MEN006,FAC003,02:30 PM,Google Meet (Online),,,,
32,25CS076,2026-08-07,Mid-Term Performance Remediation Plan,In Progress,High,CS204,MEN002,MEN002,10:30 AM,"Mentorship Cabin 204, CSE Block",,,,
33,25CS078,2026-07-31,Parent-Teacher Counseling Conference,Pending,High,CS204,MEN006,admin,02:30 PM,Google Meet (Online),,,,
34,25CS081,2026-07-31,Peer-Assisted Study Group Assignment,Pending,Critical,CS201,MEN004,MEN004,10:30 AM,"Mentorship Cabin 204, CSE Block",,,,
35,25CS085,2026-08-16,Parent-Teacher Counseling Conference,Pending,Critical,CS204,MEN006,admin,02:30 PM,Google Meet (Online),,,,
